cluster,raw_log
3,"03-17 16:14:03.281  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:03.294  1702  1820 I DisplayPowerController: HBM brightnessIn =38"
4,"03-17 16:14:03.294  1702  1820 I DisplayPowerController: HBM brightnessOut =38"
3,"03-17 16:14:03.294  1702  1820 D DisplayPowerController: Animating brightness: target=38, rate=200"
5,"03-17 16:14:03.306  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:03.307  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:03.671  1702  2639 W ActivityManager: getRunningAppProcesses: caller 10091 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:03.691  1702 27357 W ActivityManager: getRunningAppProcesses: caller 10091 does not hold REAL_GET_TASKS; limiting output"
3,"03-17 16:14:03.871  1702  2105 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261868506, event=2, flags=0x0, uid=1000"
3,"03-17 16:14:03.872  1702  2105 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
5,"03-17 16:14:04.010  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.010  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:04.307 28601 28601 V AudioManager: playSoundEffect   effectType: 0"
4,"03-17 16:14:04.307 28601 28601 V AudioManager: querySoundEffectsEnabled..."
4,"03-17 16:14:04.310  1702 14638 W ActivityManager: getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output"
3,"03-17 16:14:04.319  1702  2555 I WindowManager: Destroying surface Surface(name=PopupWindow:9b04807) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555"
5,"03-17 16:14:04.326  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.327  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:04.356  1702  2618 W ActivityManager: getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output"
3,"03-17 16:14:04.360  1702  1736 I WindowManager: Destroying surface Surface(name=PopupWindow:317e46) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555"
5,"03-17 16:14:04.364  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.364  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:04.439  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.439  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:04.450  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.451  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:04.484  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.484  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:04.504  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:04.505  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
4,"03-17 16:14:04.932  1702 27357 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:04.938  1702  3693 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:04.943  1702 17622 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:04.947  1702  3137 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:04.950  1702 14640 W ActivityManager: getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"
4,"03-17 16:14:05.038  1702  8671 W ActivityManager: getRunningAppProcesses: caller 10111 does not hold REAL_GET_TASKS; limiting output"
3,"03-17 16:14:05.460  1702  2105 D PowerManagerService: userActivityNoUpdateLocked: eventTime=261870094, event=2, flags=0x0, uid=1000"
3,"03-17 16:14:05.461  1702  2105 D PowerManagerService: ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0"
5,"03-17 16:14:05.557  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.557  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.571  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.572  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.616  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.616  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.642  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.643  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.705  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.706  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.724  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.724  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.848  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.849  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
5,"03-17 16:14:05.871  2227  2227 V PhoneStatusBar: setLightsOn(true)"
3,"03-17 16:14:05.872  2227  2227 I PhoneStatusBar: setSystemUiVisibility vis=0 mask=1 oldVal=40000500 newVal=40000500 diff=0 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 0, 0), dockedStackBounds=Rect(0, 0 - 0, 0)"
